"mentor","mentee","score","shared_language","mentor_career_preference","mentee_career_level","shared_skills","shared_format","shared_frequency","shared_sector","shared_country","prof_years","mentee_challenges"
"narriman016","hellen011",0.33,"english","nopreference","graduatestudent","careerguidance, researchadvice","","","","","36","careerdevelopment, skillsknowledge"
"narriman016","diana020",0.29,"english","nopreference","earlycareerprofessional","leadershipskills","onlinevideocalls, emails, messaging","asneededbutatleastmonthly","","","36","communication, confidencebuilding"
"narriman016","renisauma007",0.29,"english","nopreference","earlycareerprofessional","careerguidance, researchadvice, leadershipskills","onlinevideocalls, emails, messaging","","","","36","careerentry"
"vilma017","cecilia010",0.42,"english","nopreference","graduatestudent","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","11","timemanagement"
"vilma017","maurine009",0.4,"english","nopreference","graduatestudent","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","11","skillsknowledge"
"vilma017","angeline005",0.36,"english","nopreference","earlycareerprofessional","careerguidance, researchadvice, networking, leadershipskills","hybridbothonlineandinperson","","","","11","careerentry"
"sushma018","agnes014",0.43,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","25","networkingchallenges, careerdevelopment"
"sushma018","joyce022",0.4,"english","nopreference","earlycareerprofessional","careerguidance, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","25","careerdevelopment, networkingchallenges"
"sushma018","jerry003",0.38,"english, french","nopreference","earlycareerprofessional","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","","","","25","genderbarriers, lackofmentorship"
"sushma018","maurine009",0.38,"english","nopreference","graduatestudent","careerguidance, researchadvice, worklifebalance, networking, leadershipskills","hybridbothonlineandinperson","monthly","","","25","skillsknowledge"
"sally019","amina030",0.36,"","graduatestudent","graduatestudent","careerguidance, researchadvice, leadershipskills","onlinevideocalls, emails, messaging","","academic","","16","communication, timemanagement"
"sally019","comorge018",0.3,"english","graduatestudent","earlycareerprofessional","careerguidance","onlinevideocalls, emails, messaging, hybridbothonlineandinperson","","government","","16","professionaltransition"
"sally019","manahadray024",0.3,"english","graduatestudent","graduatestudent","careerguidance, leadershipskills","onlinevideocalls, emails, messaging, hybridbothonlineandinperson","","","","16","technicalskills, skillsknowledge"
