"mentor","mentee","score","distance"
"na008","na014",0.211,3.74165738677394
"na008","na016",0.211,3.74165738677394
"na008","na017",0.211,3.74165738677394
"na008","na020",0.211,3.74165738677394
"na008","na011",0.208,3.80788655293195
"na008","na007",0.2,4
"na008","na013",0.2,4
"na008","na018",0.2,4
"na008","na021",0.2,4
"na008","na022",0.2,4
"na008","na023",0.2,4
"na008","na024",0.2,4
"na008","na027",0.2,4
"na008","na028",0.2,4
"na008","na030",0.2,4
"na009","na003",0.224,3.46410161513775
"na009","na006",0.224,3.46410161513775
"na009","na014",0.224,3.46410161513775
"na009","na019",0.224,3.46410161513775
"na009","na004",0.211,3.74165738677394
"na009","na005",0.211,3.74165738677394
"na009","na009",0.211,3.74165738677394
"na009","na010",0.211,3.74165738677394
"na009","na012",0.211,3.74165738677394
"na009","na016",0.211,3.74165738677394
"na009","na017",0.211,3.74165738677394
"na009","na020",0.211,3.74165738677394
"na009","na021",0.211,3.74165738677394
"na009","na022",0.211,3.74165738677394
"na009","na011",0.208,3.80788655293195
"na009","na007",0.2,4
"na009","na013",0.2,4
"na009","na018",0.2,4
"na009","na023",0.2,4
"na009","na024",0.2,4
"na009","na027",0.2,4
"na009","na028",0.2,4
"na009","na030",0.2,4
"na010","na012",0.24,3.16227766016838
"na010","na003",0.224,3.46410161513775
"na010","na006",0.224,3.46410161513775
"na010","na007",0.224,3.46410161513775
"na010","na009",0.224,3.46410161513775
"na010","na010",0.224,3.46410161513775
"na010","na019",0.224,3.46410161513775
"na010","na011",0.221,3.52541790835802
"na010","na004",0.211,3.74165738677394
"na010","na005",0.211,3.74165738677394
"na010","na013",0.211,3.74165738677394
"na010","na017",0.211,3.74165738677394
"na010","na021",0.211,3.74165738677394
"na010","na022",0.211,3.74165738677394
"na010","na028",0.211,3.74165738677394
"na010","na030",0.211,3.74165738677394
"na010","na014",0.2,4
"na010","na016",0.2,4
"na010","na018",0.2,4
"na010","na020",0.2,4
"na010","na023",0.2,4
"na010","na024",0.2,4
"na010","na027",0.2,4
"na011","na009",0.224,3.46410161513775
"na011","na010",0.224,3.46410161513775
"na011","na028",0.224,3.46410161513775
"na011","na003",0.211,3.74165738677394
"na011","na004",0.211,3.74165738677394
"na011","na005",0.211,3.74165738677394
"na011","na006",0.211,3.74165738677394
"na011","na007",0.211,3.74165738677394
"na011","na012",0.211,3.74165738677394
"na011","na018",0.211,3.74165738677394
"na011","na019",0.211,3.74165738677394
"na011","na021",0.211,3.74165738677394
"na011","na023",0.211,3.74165738677394
"na011","na024",0.211,3.74165738677394
"na011","na030",0.211,3.74165738677394
"na011","na011",0.208,3.80788655293195
"na011","na013",0.2,4
"na011","na014",0.2,4
"na011","na016",0.2,4
"na011","na017",0.2,4
"na011","na020",0.2,4
"na011","na022",0.2,4
"na011","na027",0.2,4
"na012","na003",0.224,3.46410161513775
"na012","na006",0.224,3.46410161513775
"na012","na019",0.224,3.46410161513775
"na012","na004",0.211,3.74165738677394
"na012","na005",0.211,3.74165738677394
"na012","na009",0.211,3.74165738677394
"na012","na010",0.211,3.74165738677394
"na012","na012",0.211,3.74165738677394
"na012","na014",0.211,3.74165738677394
"na012","na016",0.211,3.74165738677394
"na012","na017",0.211,3.74165738677394
"na012","na020",0.211,3.74165738677394
"na012","na011",0.208,3.80788655293195
"na012","na007",0.2,4
"na012","na013",0.2,4
"na012","na018",0.2,4
"na012","na021",0.2,4
"na012","na022",0.2,4
"na012","na023",0.2,4
"na012","na024",0.2,4
"na012","na027",0.2,4
"na012","na028",0.2,4
"na012","na030",0.2,4
"na013","na003",0.224,3.46410161513775
"na013","na006",0.224,3.46410161513775
"na013","na019",0.224,3.46410161513775
"na013","na004",0.211,3.74165738677394
"na013","na005",0.211,3.74165738677394
"na013","na009",0.211,3.74165738677394
"na013","na010",0.211,3.74165738677394
"na013","na012",0.211,3.74165738677394
"na013","na014",0.211,3.74165738677394
"na013","na016",0.211,3.74165738677394
"na013","na017",0.211,3.74165738677394
"na013","na020",0.211,3.74165738677394
"na013","na023",0.211,3.74165738677394
"na013","na027",0.211,3.74165738677394
"na013","na011",0.208,3.80788655293195
"na013","na007",0.2,4
"na013","na013",0.2,4
"na013","na018",0.2,4
"na013","na021",0.2,4
"na013","na022",0.2,4
"na013","na024",0.2,4
"na013","na028",0.2,4
"na013","na030",0.2,4
"na014","na023",0.224,3.46410161513775
"na014","na028",0.224,3.46410161513775
"na014","na004",0.211,3.74165738677394
"na014","na005",0.211,3.74165738677394
"na014","na007",0.211,3.74165738677394
"na014","na009",0.211,3.74165738677394
"na014","na010",0.211,3.74165738677394
"na014","na013",0.211,3.74165738677394
"na014","na018",0.211,3.74165738677394
"na014","na020",0.211,3.74165738677394
"na014","na024",0.211,3.74165738677394
"na014","na030",0.211,3.74165738677394
"na014","na011",0.208,3.80788655293195
"na014","na003",0.2,4
"na014","na006",0.2,4
"na014","na012",0.2,4
"na014","na014",0.2,4
"na014","na016",0.2,4
"na014","na017",0.2,4
"na014","na019",0.2,4
"na014","na021",0.2,4
"na014","na022",0.2,4
"na014","na027",0.2,4
"na015","na023",0.224,3.46410161513775
"na015","na028",0.224,3.46410161513775
"na015","na004",0.211,3.74165738677394
"na015","na005",0.211,3.74165738677394
"na015","na007",0.211,3.74165738677394
"na015","na009",0.211,3.74165738677394
"na015","na010",0.211,3.74165738677394
"na015","na013",0.211,3.74165738677394
"na015","na018",0.211,3.74165738677394
"na015","na020",0.211,3.74165738677394
"na015","na024",0.211,3.74165738677394
"na015","na030",0.211,3.74165738677394
"na015","na011",0.208,3.80788655293195
"na015","na003",0.2,4
"na015","na006",0.2,4
"na015","na012",0.2,4
"na015","na014",0.2,4
"na015","na016",0.2,4
"na015","na017",0.2,4
"na015","na019",0.2,4
"na015","na021",0.2,4
"na015","na022",0.2,4
"na015","na027",0.2,4
"na016","na003",0.211,3.74165738677394
"na016","na004",0.211,3.74165738677394
"na016","na006",0.211,3.74165738677394
"na016","na014",0.211,3.74165738677394
"na016","na016",0.211,3.74165738677394
"na016","na017",0.211,3.74165738677394
"na016","na019",0.211,3.74165738677394
"na016","na020",0.211,3.74165738677394
"na016","na027",0.211,3.74165738677394
"na016","na011",0.208,3.80788655293195
"na016","na005",0.2,4
"na016","na007",0.2,4
"na016","na009",0.2,4
"na016","na010",0.2,4
"na016","na012",0.2,4
"na016","na013",0.2,4
"na016","na018",0.2,4
"na016","na021",0.2,4
"na016","na022",0.2,4
"na016","na023",0.2,4
"na016","na024",0.2,4
"na016","na028",0.2,4
"na016","na030",0.2,4
"na017","na012",0.24,3.16227766016838
"na017","na003",0.224,3.46410161513775
"na017","na006",0.224,3.46410161513775
"na017","na007",0.224,3.46410161513775
"na017","na009",0.224,3.46410161513775
"na017","na010",0.224,3.46410161513775
"na017","na019",0.224,3.46410161513775
"na017","na011",0.221,3.52541790835802
"na017","na004",0.211,3.74165738677394
"na017","na005",0.211,3.74165738677394
"na017","na013",0.211,3.74165738677394
"na017","na017",0.211,3.74165738677394
"na017","na021",0.211,3.74165738677394
"na017","na022",0.211,3.74165738677394
"na017","na028",0.211,3.74165738677394
"na017","na030",0.211,3.74165738677394
"na017","na014",0.2,4
"na017","na016",0.2,4
"na017","na018",0.2,4
"na017","na020",0.2,4
"na017","na023",0.2,4
"na017","na024",0.2,4
"na017","na027",0.2,4
"na018","na009",0.24,3.16227766016838
"na018","na010",0.24,3.16227766016838
"na018","na003",0.224,3.46410161513775
"na018","na005",0.224,3.46410161513775
"na018","na006",0.224,3.46410161513775
"na018","na012",0.224,3.46410161513775
"na018","na019",0.224,3.46410161513775
"na018","na028",0.224,3.46410161513775
"na018","na004",0.211,3.74165738677394
"na018","na007",0.211,3.74165738677394
"na018","na017",0.211,3.74165738677394
"na018","na018",0.211,3.74165738677394
